Gens;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, avg_best_fitness;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, _std_best_fitness;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, cumulative_evaluations;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, avg_best_fitness;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, _std_best_fitness;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, cumulative_evaluations;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, avg_best_fitness;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, _std_best_fitness;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, cumulative_evaluations;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, avg_best_fitness;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, _std_best_fitness;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, cumulative_evaluations
46;15230,66667;3290,875196;690000;20440;1646,531708;690000;16146,66667;2962,176377;690000;20046,66667;1725,057165;690000
47;15328;3249,597308;705000;20516,66667;1669,747153;705000;16333,33333;2863,533171;705000;20240;1799,185001;705000
48;15485,33333;3258,8216;720000;20553,33333;1670,276092;720000;16396;2849,862687;720000;20400;1734,358671;720000
49;15672;3259,797949;735000;20590;1684,309948;735000;16525,33333;2799,290069;735000;20483,33333;1660,538735;735000
50;15810,66667;3283,436141;750000;20610;1694,176299;750000;16572;2781,153717;750000;20576,66667;1649,582439;750000
51;15964;3284,088509;765000;20653,33333;1712,840396;765000;16638,66667;2783,948914;765000;20623,33333;1636,802438;765000
52;16089,33333;3305,130288;780000;20716,66667;1705,888494;780000;16705,33333;2769,976815;780000;20723,33333;1674,650876;780000
53;16189,33333;3280,511071;795000;20773,33333;1723,355899;795000;16797,33333;2673,124181;795000;20756,66667;1670,46567;795000
54;16341,33333;3204,667152;810000;20840;1744,247689;810000;16889,33333;2568,712951;810000;20833,33333;1686,482203;810000
55;16468;3137,691721;825000;20896,66667;1758,12084;825000;16948;2552,037617;825000;20926,66667;1616,773192;825000
56;16570,66667;3098,290855;840000;20980;1789,115238;840000;17037,33333;2526,962516;840000;20993,33333;1624,383644;840000
57;16664;3015,366865;855000;21040;1808,240397;855000;17126,66667;2444,331311;855000;21080;1615,0129;855000
58;16792;2953,5407;870000;21053,33333;1802,72633;870000;17200;2420,523359;870000;21116,66667;1620,716577;870000
59;16917,33333;2961,457899;885000;21100;1822,635454;885000;17320;2386,741153;885000;21180;1620,164601;885000
60;17110,66667;2860,422968;900000;21136,66667;1842,911344;900000;17450,66667;2305,840314;900000;21230;1628,526942;900000
61;17237,33333;2810,73055;915000;21170;1850,072071;915000;17574,66667;2290,798599;915000;21303,33333;1639,610387;915000
62;17345,33333;2811,134686;930000;21220;1853,537159;930000;17654,66667;2301,320973;930000;21376,66667;1579,595588;930000
63;17462,66667;2744,292178;945000;21286,66667;1846,750901;945000;17772;2343,874854;945000;21433,33333;1571,269833;945000
64;17562,66667;2637,815932;960000;21310;1860,170243;960000;17849,33333;2328,683367;960000;21480;1558,931258;960000
65;17622,66667;2643,360151;975000;21366,66667;1870,353502;975000;17914,66667;2308,690442;975000;21570;1538,213249;975000
